trade_date,open,high,low,close,prev_close,volume,turnover_lakhs,num_trades,delivery_qty,delivery_pct,adjusted_close,adjustment_factor,symbol
2021-09-28,1710.0,1710.0,1675.0,1687.1,,6557197,,,,,1687.1,1.0,INFY
2021-09-29,1659.25,1701.4,1655.0,1692.25,,7792548,,,,,1692.25,1.0,INFY
2021-09-30,1703.0,1703.0,1670.1,1675.2,,6914031,,,,,1675.2,1.0,INFY
2021-10-01,1665.1,1678.95,1661.25,1665.15,,5733906,,,,,1665.15,1.0,INFY
2021-10-04,1672.5,1688.0,1665.4,1678.75,,2947154,,,,,1678.75,1.0,INFY
2021-10-05,1671.0,1702.95,1663.0,1692.8,,4373310,,,,,1692.8,1.0,INFY
2021-10-06,1702.1,1709.0,1670.0,1673.55,,4271698,,,,,1673.55,1.0,INFY
2021-10-07,1687.0,1704.2,1676.65,1691.0,,5476108,,,,,1691.0,1.0,INFY
2021-10-08,1705.25,1731.5,1698.4,1723.85,,4738376,,,,,1723.85,1.0,INFY
2021-10-11,1682.0,1730.0,1663.7,1690.95,,8840633,,,,,1690.95,1.0,INFY
2021-10-12,1677.0,1689.0,1662.0,1685.15,,7439300,,,,,1685.15,1.0,INFY
2021-10-13,1695.95,1713.65,1680.05,1709.2,,7104171,,,,,1709.2,1.0,INFY
2021-10-14,1754.0,1783.6,1698.2,1715.75,,19655776,,,,,1715.75,1.0,INFY
2021-10-18,1740.0,1799.0,1740.0,1792.15,,13438109,,,,,1792.15,1.0,INFY
2021-10-19,1814.0,1834.5,1782.3,1822.15,,10324260,,,,,1822.15,1.0,INFY
2021-10-20,1829.4,1848.0,1794.05,1802.35,,5876115,,,,,1802.35,1.0,INFY
2021-10-21,1814.0,1814.0,1746.85,1753.65,,8779629,,,,,1753.65,1.0,INFY
2021-10-22,1749.9,1763.2,1707.0,1719.8,,7369809,,,,,1719.8,1.0,INFY
2021-10-25,1722.05,1729.75,1687.2,1707.55,,5905209,,,,,1707.55,1.0,INFY
2021-10-26,1710.05,1726.6,1695.9,1703.7,,5871709,,,,,1703.7,1.0,INFY
2021-10-27,1709.1,1734.15,1701.15,1728.95,,5090259,,,,,1728.95,1.0,INFY
2021-10-28,1719.35,1724.75,1692.05,1703.9,,5329972,,,,,1703.9,1.0,INFY
2021-10-29,1699.0,1712.6,1661.05,1667.75,,5875091,,,,,1667.75,1.0,INFY
2021-11-01,1677.5,1707.2,1676.0,1700.05,,3636806,,,,,1700.05,1.0,INFY
2021-11-02,1695.0,1706.45,1686.35,1697.9,,3471772,,,,,1697.9,1.0,INFY
2021-11-03,1709.0,1717.45,1699.0,1702.5,,3530713,,,,,1702.5,1.0,INFY
2021-11-04,1715.0,1717.0,1705.0,1708.7,,483407,,,,,1708.7,1.0,INFY
2021-11-08,1730.0,1741.0,1703.0,1737.5,,5245903,,,,,1737.5,1.0,INFY
2021-11-09,1734.75,1750.0,1726.0,1742.5,,4016134,,,,,1742.5,1.0,INFY
2021-11-10,1726.0,1750.95,1721.95,1740.15,,4780368,,,,,1740.15,1.0,INFY
2021-11-11,1732.95,1739.75,1709.0,1733.3,,4731349,,,,,1733.3,1.0,INFY
