date,price,action,reward,portfolio_value,cash,shares
2025-12-11,1556.5,0,0.0,127742.03636419492,127742.03636419492,0.0
2025-12-12,1556.2,0,0.0,127742.03636419492,127742.03636419492,0.0
2025-12-15,1542.3,2,-0.0002,127742.03636419492,127742.03636419492,0.0
2025-12-16,1544.4,0,0.0,127742.03636419492,127742.03636419492,0.0
2025-12-17,1544.4,0,0.0,127742.03636419492,127742.03636419492,0.0
2025-12-18,1565.1,0,0.0,127742.03636419492,127742.03636419492,0.0
2025-12-19,1575.4,0,0.0,127742.03636419492,127742.03636419492,0.0
2025-12-22,1570.7,0,0.0,127742.03636419492,127742.03636419492,0.0
2025-12-23,1558.2,2,-0.0002,127742.03636419492,127742.03636419492,0.0
2025-12-24,1559.2,2,-0.0002,127742.03636419492,127742.03636419492,0.0
2025-12-26,1545.6,0,0.0,127742.03636419492,127742.03636419492,0.0
2025-12-29,1539.8,2,-0.0002,127742.03636419492,127742.03636419492,0.0
2025-12-30,1570.4,0,0.0,127742.03636419492,127742.03636419492,0.0
2025-12-31,1575.6,0,0.0,127742.03636419492,127742.03636419492,0.0
2026-01-01,1592.3,0,0.0,127742.03636419492,127742.03636419492,0.0
2026-01-02,1578.1,2,-0.0002,127742.03636419492,127742.03636419492,0.0
2026-01-05,1507.6,2,-0.0002,127742.03636419492,127742.03636419492,0.0
2026-01-06,1504.2,1,-0.0032972697024826513,127346.99691289625,6265.746883663756,80.49544610373121
2026-01-07,1470.6,2,-0.001151250138394098,127225.91566286702,127225.91566286702,0.0
2026-01-08,1475.3,1,0.0018840026677545605,127491.33127788102,6240.431163263638,82.18728401993994
2026-01-09,1483.2,1,0.004879810720190894,128140.61082163856,6240.431163263638,82.18728401993994
2026-01-12,1452.8,2,-0.0011517529025580084,128018.71064198019,128018.71064198019,0.0
2026-01-13,1458.8,0,0.0,128018.71064198019,128018.71064198019,0.0
2026-01-14,1457.9,1,-0.0017372791712412699,127822.0613357496,6279.317756989127,83.368367911901
